year,month,day,carrier,origin,dest,departure_delay,arrival_delay,air_time,distance,delay_change_minutes,air_time_hours,speed_mph
2013,6,15,MQ,JFK,CMH,1137.0,1127.0,74.0,483,-10.0,1.2333333333333334,391.6216216216216
2013,7,22,MQ,JFK,CVG,1005.0,989.0,96.0,589,-16.0,1.6,368.125
2013,6,27,DL,JFK,PDX,899.0,850.0,313.0,2454,-49.0,5.216666666666667,470.41533546325877
2013,6,27,DL,JFK,SAN,790.0,769.0,312.0,2446,-21.0,5.2,470.38461538461536
2013,7,7,VX,JFK,SFO,629.0,676.0,334.0,2586,47.0,5.566666666666666,464.55089820359285
2013,7,27,EV,JFK,IAD,536.0,577.0,47.0,228,41.0,0.7833333333333333,291.06382978723406
2013,7,6,DL,JFK,SFO,589.0,561.0,325.0,2586,-28.0,5.416666666666667,477.4153846153846
2013,7,28,MQ,JFK,CVG,486.0,496.0,96.0,589,10.0,1.6,368.125
2013,8,21,DL,JFK,ATL,508.0,469.0,99.0,760,-39.0,1.65,460.6060606060606
2013,7,24,9E,JFK,MSP,430.0,458.0,150.0,1029,28.0,2.5,411.6
2013,6,7,MQ,JFK,ORF,419.0,451.0,53.0,290,32.0,0.8833333333333333,328.3018867924528
2013,7,10,B6,JFK,SFO,453.0,445.0,345.0,2586,-8.0,5.75,449.7391304347826
2013,6,24,DL,JFK,SEA,504.0,444.0,307.0,2422,-60.0,5.116666666666666,473.35504885993487
2013,7,10,VX,JFK,SFO,432.0,433.0,340.0,2586,1.0,5.666666666666667,456.35294117647055
2013,6,13,MQ,JFK,RDU,343.0,430.0,76.0,427,87.0,1.2666666666666666,337.10526315789474
2013,6,13,EV,JFK,IAD,388.0,421.0,56.0,228,33.0,0.9333333333333333,244.28571428571428
2013,7,7,DL,JFK,SAN,452.0,421.0,305.0,2446,-31.0,5.083333333333333,481.1803278688525
2013,7,10,9E,JFK,DFW,355.0,421.0,191.0,1391,66.0,3.183333333333333,436.96335078534037
2013,7,10,VX,JFK,LAX,413.0,420.0,320.0,2475,7.0,5.333333333333333,464.0625
2013,7,10,B6,JFK,BOS,381.0,412.0,54.0,187,31.0,0.9,207.77777777777777
2013,7,7,VX,JFK,SFO,396.0,411.0,338.0,2586,15.0,5.633333333333334,459.0532544378698
2013,8,18,VX,JFK,LAX,392.0,404.0,313.0,2475,12.0,5.216666666666667,474.4408945686901
2013,6,27,DL,JFK,SEA,278.0,400.0,337.0,2422,122.0,5.616666666666666,431.2166172106825
2013,8,28,DL,JFK,MIA,436.0,399.0,134.0,1089,-37.0,2.2333333333333334,487.6119402985075
2013,7,10,UA,JFK,SFO,325.0,399.0,360.0,2586,74.0,6.0,431.0
2013,7,10,B6,JFK,SYR,352.0,391.0,42.0,209,39.0,0.7,298.5714285714286
2013,7,10,DL,JFK,PDX,353.0,391.0,335.0,2454,38.0,5.583333333333333,439.52238805970154
2013,7,1,EV,JFK,IAD,363.0,385.0,40.0,228,22.0,0.6666666666666666,342.0
2013,7,22,9E,JFK,DTW,356.0,383.0,88.0,509,27.0,1.4666666666666666,347.04545454545456
2013,7,9,AA,JFK,SFO,364.0,380.0,361.0,2586,16.0,6.016666666666667,429.80609418282546
2013,6,13,B6,JFK,TPA,351.0,380.0,144.0,1005,29.0,2.4,418.75
2013,6,7,B6,JFK,PBI,371.0,376.0,146.0,1028,5.0,2.433333333333333,422.4657534246576
2013,6,25,9E,JFK,PIT,376.0,372.0,64.0,340,-4.0,1.0666666666666667,318.75
2013,7,18,AA,JFK,SJU,396.0,371.0,198.0,1598,-25.0,3.3,484.24242424242425
2013,7,22,VX,JFK,SFO,304.0,360.0,354.0,2586,56.0,5.9,438.3050847457627
2013,7,10,9E,JFK,SDF,296.0,357.0,110.0,662,61.0,1.8333333333333333,361.0909090909091
2013,8,28,EV,JFK,IAD,361.0,356.0,47.0,228,-5.0,0.7833333333333333,291.06382978723406
2013,7,19,DL,JFK,TPA,405.0,355.0,125.0,1005,-50.0,2.0833333333333335,482.4
2013,7,22,DL,JFK,MIA,320.0,354.0,138.0,1089,34.0,2.3,473.47826086956525
2013,7,10,B6,JFK,BUF,375.0,354.0,52.0,301,-21.0,0.8666666666666667,347.3076923076923
2013,6,10,EV,JFK,IAD,315.0,354.0,51.0,228,39.0,0.85,268.2352941176471
2013,7,22,MQ,JFK,BNA,312.0,354.0,125.0,765,42.0,2.0833333333333335,367.2
2013,7,30,VX,JFK,SFO,364.0,354.0,347.0,2586,-10.0,5.783333333333333,447.1469740634006
2013,6,27,DL,JFK,PDX,224.0,350.0,331.0,2454,126.0,5.516666666666667,444.83383685800607
2013,7,10,UA,JFK,SFO,272.0,347.0,345.0,2586,75.0,5.75,449.7391304347826
2013,7,11,UA,JFK,SFO,348.0,345.0,330.0,2586,-3.0,5.5,470.1818181818182
2013,6,14,9E,JFK,PIT,335.0,342.0,63.0,340,7.0,1.05,323.8095238095238
2013,6,27,B6,JFK,BOS,381.0,340.0,34.0,187,-41.0,0.5666666666666667,330.0
2013,7,10,B6,JFK,HOU,243.0,338.0,188.0,1428,95.0,3.1333333333333333,455.74468085106383
2013,7,22,9E,JFK,CVG,268.0,337.0,94.0,589,69.0,1.5666666666666667,375.95744680851067
2013,7,28,9E,JFK,CLE,236.0,336.0,76.0,425,100.0,1.2666666666666666,335.5263157894737
2013,8,11,DL,JFK,DEN,360.0,335.0,236.0,1626,-25.0,3.933333333333333,413.3898305084746
2013,7,10,B6,JFK,SAN,274.0,334.0,313.0,2446,60.0,5.216666666666667,468.88178913738017
2013,6,24,VX,JFK,SFO,263.0,333.0,362.0,2586,70.0,6.033333333333333,428.61878453038673
2013,6,25,B6,JFK,LAS,364.0,332.0,293.0,2248,-32.0,4.883333333333334,460.3412969283276
2013,7,9,9E,JFK,BUF,248.0,331.0,56.0,301,83.0,0.9333333333333333,322.5
2013,7,7,9E,JFK,ROC,270.0,330.0,53.0,264,60.0,0.8833333333333333,298.8679245283019
2013,6,27,US,JFK,CLT,307.0,328.0,76.0,541,21.0,1.2666666666666666,427.10526315789474
2013,8,11,B6,JFK,SEA,340.0,328.0,331.0,2422,-12.0,5.516666666666667,439.0332326283988
2013,7,7,DL,JFK,ATL,327.0,325.0,101.0,760,-2.0,1.6833333333333333,451.48514851485146
2013,7,20,9E,JFK,MSP,233.0,324.0,161.0,1029,91.0,2.683333333333333,383.47826086956525
2013,7,22,9E,JFK,PIT,335.0,324.0,66.0,340,-11.0,1.1,309.09090909090907
2013,7,10,UA,JFK,LAX,306.0,322.0,321.0,2475,16.0,5.35,462.61682242990656
2013,7,12,DL,JFK,TPA,343.0,322.0,135.0,1005,-21.0,2.25,446.6666666666667
2013,7,22,B6,JFK,CLT,284.0,322.0,82.0,541,38.0,1.3666666666666667,395.8536585365854
2013,7,22,DL,JFK,ATL,297.0,320.0,107.0,760,23.0,1.7833333333333334,426.1682242990654
2013,6,24,UA,JFK,LAX,306.0,319.0,331.0,2475,13.0,5.516666666666667,448.6404833836858
2013,7,7,B6,JFK,OAK,252.0,318.0,336.0,2576,66.0,5.6,460.00000000000006
